URL,Article,Abstract,Classification,Translation,Remarks
www.tamilwin.com,1,,,,
athirvu.in,1,,,,
chennaionline.com/tamil,1,,,,
http://2tamil.com,1,1,,,
http://canadauthayan.ca,1,,,,
http://dinasudar.co.in,1,,,,
http://eeladhesam.com,1,1,,,
http://globaltamilnews.net,1,,,,
http://goldtamil.com,1,,,,
http://inioru.com,1,,,,
http://kathiravan.com,1,,,,
http://tamil.webdunia.com,1,,,,
http://tamil24news.com,1,,,,
http://tamilnadutoday.com,1,,,,
http://www.4tamilmedia.com,1,1,,,
http://www.athirady.com,1,,,,
http://www.dinakaran.com,1,,,,
http://www.dinamalar.com,1,,,,
http://www.dinamani.com,1,1,1,,
http://www.inneram.com,1,1,,,
http://www.maalaisudar.com,1,,,,
http://www.malaimurasu.in,1,1,,,
http://www.ntamil.com,1,,,,
http://www.paristamil.com,1,,,,
http://www.periyarpinju.com/new/,1,,,,
http://www.punnagai.com,1,,,,
http://www.puthinamnews.com,1,,,,
http://www.puthinappalakai.net,1,,,,
http://www.puthiyathalaimurai.com,1,,,,
http://www.tamil.com,1,1,,,
http://www.tamildaily.com,1,,,,
http://www.tamilmirror.lk,1,,,,
http://www.tamilmurasu.org,1,,,,
http://www.thinaboomi.com,1,,1,,
http://www.timesofadventure.com,1,1,,,
http://www.vanakkamlondon.com,1,1,,,
http://www.vannionline.com,1,,,,
http://www.viduthalai.in/,1,1,,,
http://www.virakesari.lk,1,,,,
https://mentamil.com,1,1,,,
https://seithy.com,1,,,,
https://theekkathir.in,1,,,,
https://thinakkathir.com,1,,,,
https://www.ibctamil.com,1,,,,
https://www.manithan.com,1,,,,
https://www.pudhuvaioli.com,1,,,,
https://www.telonews.com,1,,,,
in4net.com,1,,,,
makkalkural.net/,1,,,,
news.lankasri.com,1,,,,
newuthayan.com,1,,,,
tamil.asianetnews.com/,1,1,,,
tamil.boldsky.com,1,,0.5,,
tamil.goodreturns.in,1,,,,
tamil.nativeplanet.com,1,,,,
tamil.oneindia.com,1,,,,
tamil.samayam.com,1,1,,,
universaltamil.com,1,1,,,
www.bbc.com/tamil,1,1,,,
www.cineulagam.com,1,,,,
www.dailythanthi.com,1,1,,1,
www.jvpnews.com,1,,,,contains link to lot more sites
www.maalaimalar.com,1,1,,,
www.pathivu.com,1,,,,
www.thinakaran.lk,1,,,,
www.vikatan.com,1,,,,
www.yarl.com,1,,,,
